ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija,regija
"BIZOVIK, OB LITISIJSKI, 2 PARKIRNI MESTI",Prodaja,Stanovanje,triinpolsobno,2008,,79.9,210000.0,"YES NEPREMIČNINE, nepremičninska agencija, d.o.o.",ljubljana-mesto
BRDO,Prodaja,Hiša,Samostojna,1975,764.0,350.0,420000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"ČRNUČE, BRNČIČEVA ULICA 31",Prodaja,Poslovni prostor,Pisarna,2009,,822.9,790000.0,Salomon d.o.o. Ljubljana,ljubljana-mesto
"DRAVELJSKA GMAJNA, KAMNOGORIŠKA CESTA",Prodaja,Stanovanje,trisobno,2018,,97.8,329000.0,Harmonija nepremičnine Ksenja Kokalj s.p.,ljubljana-mesto
"GALJEVICA, NA VOLJO LE ŠE ENA ENOTA",Prodaja,Hiša,Vrstna,2019,,185.3,320000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
LJ. BEŽIGRAD,Prodaja,Stanovanje,trisobno,1986,,72.8,209000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
LJ. BEŽIGRAD,Prodaja,Poslovni prostor,Prostor za storitve,1986,,357.7,695000.0,ABC nepremičnine d.o.o.,ljubljana-mesto
"LJ. BEŽIGRAD, 2 KM IZ CENTRA",Prodaja,Hiša,Samostojna,1985,494.0,228.0,420000.0,Harmonija nepremičnine Ksenja Kokalj s.p.,ljubljana-mesto
"LJ. BEŽIGRAD, BLIŽINA PLEČNIKOVEGA STADIONA",Prodaja,Stanovanje,trisobno,2009,,106.5,238000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
"LJ. BEŽIGRAD, ZUPANČIČEVA JAMA",Prodaja,Poslovni prostor,Prostor za storitve,1989,,64.0,172000.0,Mreža nepremičnin d.o.o.,ljubljana-mesto
"LJ. BEŽIGRAD, ZUPANČIČEVA JAMA, DVIGALO, BALKON",Prodaja,Stanovanje,trisobno,1988,,73.3,255000.0,"STAN nepremičnine d.o.o., Ljubljana",ljubljana-mesto
LJ. CENTER,Prodaja,Stanovanje,dvoinpolsobno,1971,,75.1,260000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
LJ. CENTER,Prodaja,Stanovanje,trisobno,1983,,81.0,295000.0,MESTO NEPREMIČNIN d.o.o.,ljubljana-mesto
LJ. CENTER,Prodaja,Stanovanje,trisobno,2021,38.0,91.21,394999.14,"Stoja trade, d.o.o., Ljubljana",ljubljana-mesto
"LJ. CENTER, KONGRESNI TRG 14",Prodaja,Stanovanje,trisobno,1897,,91.0,360000.0,Zasebna ponudba,ljubljana-mesto
"LJ. CENTER, KOTNIKOVA ULICA",Prodaja,Poslovni prostor,Pisarna,1962,,480.0,1400.0,S-Invest d.o.o.,ljubljana-mesto
