ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
"BIZOVIK, OB LITISIJSKI, 2 PARKIRNI MESTI",Prodaja,Stanovanje,triinpolsobno,2008,,79.9,210000.0,"YES NEPREMIČNINE, nepremičninska agencija, d.o.o."
BRDO,Prodaja,Stanovanje,štiriinpolsobno,2014,,114.1,348000.0,MESTO NEPREMIČNIN d.o.o.
BRESTANICA,Prodaja,Hiša,Samostojna,1990,2441.0,243.6,176000.0,"NOVDOM Nepremičnine, Aleš Novak s.p."
BREŽICE,Prodaja,Poslovni prostor,Kombiniran prostor,1971,32101.0,14554.0,1500000.0,"DUTB, d.d."
CELJE,Prodaja,Hiša,Dvojček,2019,240.0,115.0,175000.0,"Agenti Celje, AŽ&MB Nerad d.o.o."
"CELJE, OSTROŽNO",Prodaja,Hiša,Samostojna,2008,960.0,276.0,195000.0,KAPITOL posredovanje d.o.o.
ČEPOVAN,Prodaja,Hiša,Samostojna,1920,2200.0,185.0,22900.0,Vilmar nepremičnine d.o.o.
"ČRNA VAS, 5 MIN OD OBVOZNICE - DVOSTANOVANJSKA HIŠA Z VRTOM",Prodaja,Hiša,Samostojna,2005,332.0,210.0,295000.0,ABC nepremičnine d.o.o.
ČRNUČE,Prodaja,Stanovanje,dvoinpolsobno,2019,,101.98,217031.0,"GB nepremičnine, Goran Barišić s.p."
"ČRNUČE, BRNČIČEVA ULICA 31",Prodaja,Poslovni prostor,Pisarna,2009,,822.9,790000.0,Salomon d.o.o. Ljubljana
DOLENJA TREBUŠA,Prodaja,Hiša,Samostojna,1600,280615.0,243.0,96000.0,Renes d.o.o.
"DOMŽALE, BISTRA, BLIZU VRTCA IN ŠOLE",Prodaja,Stanovanje,štiriinpolsobno,2007,110.0,112.1,328000.0,Zasebna ponudba
DRAGOČAJNA,Prodaja,Hiša,Dvojček,2019,320.0,157.0,155000.0,Harmonija nepremičnine Ksenja Kokalj s.p.
"DRAVLJE, REGENTOVA C/PLEŠIČEVA U",Prodaja,Stanovanje,štirisobno,2019,,96.29,376106.0,Modra Vila d.o.o.
FUŽINE,Prodaja,Stanovanje,dvoinpolsobno,1980,,73.7,184000.0,MESTO NEPREMIČNIN d.o.o.
GORNJA RADGONA,Prodaja,Stanovanje,štirisobno,1981,,88.1,107000.0,"RE/MAX Pomurje, PRO-BEL, d.o.o."
