ime,vrsta,opis,leto_izgradnje,zemljisce,velikost,cena
"BIZOVIK, OB LITISIJSKI, 2 PARKIRNI MESTI",Stanovanje,triinpolsobno,2008,,79.9,210000.0
BRDO,Hiša,Samostojna,1975,764.0,350.0,420000.0
"ČRNUČE, BRNČIČEVA ULICA 31",Poslovni prostor,Pisarna,2009,,822.9,790000.0
"DRAVELJSKA GMAJNA, KAMNOGORIŠKA CESTA",Stanovanje,trisobno,2018,,97.8,329000.0
"GALJEVICA, NA VOLJO LE ŠE ENA ENOTA",Hiša,Vrstna,2019,,185.3,320000.0
LJ. BEŽIGRAD,Stanovanje,trisobno,1986,,72.8,209000.0
LJ. BEŽIGRAD,Poslovni prostor,Prostor za storitve,1986,,357.7,695000.0
"LJ. BEŽIGRAD, 2 KM IZ CENTRA",Hiša,Samostojna,1985,494.0,228.0,420000.0
"LJ. BEŽIGRAD, BLIŽINA PLEČNIKOVEGA STADIONA",Stanovanje,trisobno,2009,,106.5,238000.0
"LJ. BEŽIGRAD, ZUPANČIČEVA JAMA",Poslovni prostor,Prostor za storitve,1989,,64.0,172000.0
"LJ. BEŽIGRAD, ZUPANČIČEVA JAMA, DVIGALO, BALKON",Stanovanje,trisobno,1988,,73.3,255000.0
LJ. CENTER,Stanovanje,dvoinpolsobno,1971,,75.1,260000.0
LJ. CENTER,Stanovanje,trisobno,1983,,81.0,295000.0
LJ. CENTER,Stanovanje,trisobno,2021,38.0,91.21,394999.14
"LJ. CENTER, KONGRESNI TRG 14",Stanovanje,trisobno,1897,,91.0,360000.0
"LJ. CENTER, KOTNIKOVA ULICA",Poslovni prostor,Pisarna,1962,,480.0,1400.0
"LJ. CENTER, SITULA",Stanovanje,trisobno,2012,,105.7,398000.0
"LJ. CENTER, TOP LOKACIJA V CENTRU - RIMSKA CESTA",Stanovanje,štiriinpolsobno,1897,,105.0,385000.0
"LJ. CENTER, VODMAT + PARKIRANJE PRED BLOKOM",Stanovanje,dvosobno,1965,,62.5,170000.0
LJ. ŠIŠKA,Stanovanje,garsonjera,2009,,33.0,110000.0
LJ. ŠIŠKA,Stanovanje,dvosobno,1970,,63.3,165000.0
LJ. ŠIŠKA,Stanovanje,trisobno,1969,,89.7,198000.0
LJ. ŠIŠKA,Hiša,Dvojček,2020,132.0,128.18,268275.0
LJ. ŠIŠKA,Stanovanje,štirisobno,2020,,230.57,578872.0
LJ. ŠIŠKA,Stanovanje,petsobno,2018,,406.42,990000.0
"LJ. ŠIŠKA, CELOVŠKI DVORI, TRETJA LAMELA",Stanovanje,štirisobno,2009,,184.0,298000.0
"LJ. ŠIŠKA, VIŽMARJE",Hiša,Trojček,2019,22958.0,138.9,219000.0
"LJ. VIČ, KRIMSKA ULICA",Stanovanje,enoinpolsobno,1960,,36.2,128000.0
"LJ. VIČ, NOVOGRADNJA",Stanovanje,trisobno,2019,,90.5,315000.0
MURGLE,Stanovanje,trisobno,2020,7.0,99.96,450675.0
MURGLE,Stanovanje,petsobno,2020,1.0,153.6,661893.0
MURGLE,Stanovanje,štirisobno,2020,1.0,176.69,775700.0
MURGLE,Stanovanje,štirisobno,2020,177.0,288.83,588314.0
"MURGLE, LJ.",Stanovanje,trisobno,2020,,90.18,450467.0
"MURGLE, LJ.",Stanovanje,štirisobno,2020,,97.98,504206.0
"NOVE FUŽINE, CHENGDUJSKA CESTA",Stanovanje,štirisobno,1986,,92.0,205000.0
PODUTIK,Stanovanje,štirisobno,2019,,114.78,314500.0
PODUTIK,Stanovanje,štirisobno,2019,,158.26,459000.0
POLJANE,Stanovanje,enoinpolsobno,1882,,36.3,148500.0
"RUDNIK, BARJANSKA CESTA",Hiša,Vrstna,2020,143.0,162.0,481800.0
"RUDNIK, BREZ PROVIZIJE",Hiša,Samostojna,2019,350.0,190.0,299000.0
"RUDNIK, IG, NA VOLJO SAMO ŠE TRI",Hiša,Samostojna,2019,400.0,156.0,285000.0
"SPODNJE GAMELJNE, ČUDOVITA DVOSTANOVANJSKA HIŠA S POGLEDOM N...",Hiša,Samostojna,1972,1241.0,360.0,695000.0
ŠMARTNO POD ŠMARNO GORO,Hiša,Samostojna,2011,1242.0,528.6,795000.0
"TRNOVO, BARJANSKA CESTA",Hiša,Vrstna,2020,252.0,162.0,525000.0
"TRNOVO, IZREDNO MIRNA IN TIHA LOKACIJA.",Hiša,Samostojna,1990,415.0,260.0,660000.0
VEVČE,Hiša,Dvojček,2019,330.0,150.0,249000.0
VIŽMARJE,Stanovanje,garsonjera,2020,,34.0,138958.0
VODMAT,Stanovanje,trisobno,1965,,70.5,199000.0
ZG. ŠIŠKA,Stanovanje,štirisobno,2009,,131.39,255000.0
"ZUPANČIČEVA JAMA, VELIK POTENCIAL ZA LASTNIKA",Stanovanje,trisobno,1993,,143.8,325000.0
BESNICA,Hiša,Samostojna,1996,747.0,196.0,210000.0
"BESNICA, MALO TREBELJEVO",Hiša,Samostojna,1981,800.0,45.0,69000.0
"BESNICA, PRI LJUBLJANI",Hiša,Samostojna,1996,737.0,196.0,210000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Pisarna,1996,,16.0,27000.0
BEŽIGRAJSKI DVOR,Stanovanje,garsonjera,1963,,17.3,95000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Prostor za storitve,1996,,22.0,85000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Drugo,1996,,23.0,37000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Kombiniran prostor,1996,,37.35,60000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Gostinski lokal,1996,,38.66,79000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Drugo,1996,,90.5,109000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Prostor za storitve,1998,,99.8,195000.0
BEŽIGRAJSKI DVOR,Poslovni prostor,Pisarna,1996,,170.0,323000.0
"BEŽIGRAJSKI DVOR, PERIČEVA ULICA",Stanovanje,enosobno,1996,,42.5,139000.0
BIZOVIK,Hiša,Dvojček,2007,218.0,130.0,365000.0
BIZOVIK,Hiša,Vrstna,2008,275.0,170.0,389000.0
BIZOVIK,Hiša,Vrstna,2007,116.0,190.0,310000.0
BIZOVIK,Hiša,Samostojna,1995,1209.0,270.0,550000.0
BIZOVIK,Hiša,Samostojna,1995,1209.0,338.0,550000.0
BRDO,Stanovanje,enosobno,1970,,44.0,134000.0
BRDO,Stanovanje,trisobno,2014,,74.4,325000.0
BRDO,Hiša,Dvojček,1970,,88.66,240000.0
BRDO,Stanovanje,trisobno,2018,,96.65,391500.0
BRDO,Stanovanje,trisobno,2019,,116.83,394800.0
BRDO,Stanovanje,petsobno,2019,,138.42,461000.0
BRDO,Poslovni prostor,Pisarna,1983,,162.6,249000.0
BRDO,Poslovni prostor,Prostor za storitve,1983,,162.6,249000.0
BRDO,Hiša,Samostojna,1951,,208.0,319000.0
BRDO,Poslovni prostor,Gostinski lokal,1998,,246.0,300000.0
"BRDO, 1000 LJ.",Hiša,Dvostanovanjska,1973,707.0,250.0,270000.0
"BRDO, BRDNIKOVA ULICA",Stanovanje,štirisobno,2018,,157.1,590000.0
"BRDO, NOVA GRBINA",Stanovanje,štirisobno,2002,,190.9,480000.0
BREZJE PRI LIPOGLAVU,Hiša,Dvostanovanjska,1983,1110.0,191.6,280000.0
"BREZJE PRI LIPOGLAVU, OAZA NARAVE IN MIRU",Hiša,Samostojna,1983,1110.0,231.0,269900.0
BRINJE,Poslovni prostor,Kombiniran prostor,1980,2888.0,1575.0,2800000.0
"BRINJE, LJ BEŽIGRAD POHORSKEGA BATALJONA",Garaža,Vsi tipi,1969,,12.48,10500.0
BROD,Stanovanje,dvosobno,2006,,79.6,210000.0
BROD,Hiša,Samostojna,1960,566.0,192.0,289000.0
BROD,Hiša,Vrstna,1970,307.0,202.8,285000.0
BROD,Hiša,Samostojna,2002,1984.0,399.0,990000.0
"BROD, SLAŠČIČARNA IN PEKARNA",Poslovni prostor,Gostinski lokal,2005,,220.0,480000.0
BS 3,Stanovanje,enoinpolsobno,1979,,50.0,140000.0
BS 3,Stanovanje,trisobno,1982,,77.0,208000.0
